SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
R0343,2026-06-23,Ny kund,65+,Annanstans i Finland,På plats,Fakturering eller betalning,Fakturering och betalning,15,1.3,Ja,Ja,,4,5,9,7,146.1,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0344,2026-06-17,Återkommande kund,25–34,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,14,2.3,Ja,Nej,,3,4,8,6,83.43,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0345,2026-02-06,Företagskund,45–54,Annanstans i Finland,Webbformulär,Leverans- eller orderstatus,Order och leverans,28,0.9,Ja,Ja,,2,5,8,5,101.41,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0346,2026-06-30,Företagskund,35–44,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,13,1,Ja,Ja,,5,4,10,9,581.51,Nej,Betalningsproblemet löstes vid den första kontakten.
R0347,2026-06-07,Ny kund,18–24,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,16,2.3,Ja,Ja,,4,5,10,7,227.07,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0348,2026-03-02,Återkommande kund,65+,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,34,1.3,Ja,Ja,,5,5,9,8,326.43,Nej,
R0349,2026-03-21,Ny kund,35–44,Annan del av regionen,På plats,Köp eller bokning,Order och leverans,17,5.2,Nej,Ja,,3,4,6,7,376.42,Ja,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0350,2026-01-13,Företagskund,45–54,Lokalt område,Webbformulär,Köp eller bokning,Fakturering och betalning,32,2.6,Ja,Ja,,4,5,9,7,188.71,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0351,2026-04-06,Ny kund,25–34,Lokalt område,På plats,Köp eller bokning,Kundinformation,25,0.8,Ja,Nej,,4,4,8,10,175.09,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0352,2026-02-23,Ny kund,35–44,Lokalt område,Chatt,Köp eller bokning,Order och leverans,24,15.4,Nej,Ja,,3,5,8,7,311.7,Ja,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0353,2026-03-05,Ny kund,18–24,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,15,5,Nej,Nej,,2,4,6,6,43.19,Ja,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0354,2026-04-05,Ny kund,25–34,Lokalt område,Webbformulär,Installation eller konfigurering,Teknisk support,25,11,Nej,Ja,,3,4,6,4,285.29,Ja,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0355,2026-01-26,Ny kund,55–64,Lokalt område,E-post,Köp eller bokning,Fakturering och betalning,7,3.6,Ja,Ja,3,3,5,10,8,352.37,Nej,Jag fick ett tydligt svar på min fråga om faktureringen.
R0356,2026-01-10,Återkommande kund,35–44,Lokalt område,Chatt,Teknisk support,Teknisk support,12,1.4,Ja,Ja,,4,3,7,5,129.37,Ja,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0357,2026-06-20,Ny kund,55–64,Lokalt område,På plats,Leverans- eller orderstatus,Order och leverans,8,1.4,Ja,Nej,,2,4,8,5,51.69,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0358,2026-06-10,Återkommande kund,45–54,Annanstans i Finland,Chatt,Fakturering eller betalning,Fakturering och betalning,20,0.5,Ja,Ja,,4,5,8,8,97.16,Nej,Betalningsproblemet löstes vid den första kontakten.
R0359,2026-06-01,Återkommande kund,18–24,Lokalt område,Telefon,Installation eller konfigurering,Teknisk support,13,32.1,Nej,Ja,,4,3,4,6,146.7,Ja,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0360,2026-06-07,Återkommande kund,25–34,Annan del av regionen,Webbformulär,Fakturering eller betalning,Fakturering och betalning,22,2.1,Ja,Ja,,5,4,8,7,90.28,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
